concerns,concerns category,anything else,anything else category
"I am concerned about getting answers to questions that I might have, but it should not be a problem due to access to Piazza and similar resources that will allow me to discuss and investigate my questions.",AC,"So far the course is somewhat difficult, but it seems like I will make a strong enough connection that makes it easier for me to understand the applications of this course, so that the math does not seem as abstract as it currently does.",AC
"Conflicts with studio sessions school events, but not much of an issue since sessions are recorded.",NC,"I think the course has been set up very well, with lots of options and resources to help students succeed.",NC
There are none.,NC,There isn't anything.,NC
It's been fine for me so far. The videos have been helping a lot. The other students in my school who take the same course as me have been a great help in both my motivation and understanding of the course.,NC,"The course definitely seems a lot more abstract than the other courses I've taken and I feel like I'm a lot more on my own than in a regular high school class. However, I've taken online courses like this before and I feel like I'm doing ok so far. I'm not digesting a lot of the information at first, but I do get more comfortable with the material as I approach the homework.",AC
None,NC,So far so good!,NC
"My main concern is that without the same amount face to face interaction, it will be harder for me to absorb the material and get a solid intuitive sense for the theorems and other more abstract ideas.",AC,Nothing in particular,NC
I'm worried I won't be able to learn as well remotely as compared to in person.,AC,n/A,NC
N/A,NC,N/A,NC
I don't have any concerns (yet :) ).,NC,I enjoy the self-paced course because I can watch the videos on my own time and take extra time on certain lessons if necessary for me.,NC
I am worried that I might accidentally miss an assignment due to lack of awareness on where content is posted.,TC,I think the course is very interesting that uses a different approach to math!,NC
I don't have any concerns.,NC,So far I think the course has been easy to follow and easy to understand. I think the TA's and the prerecorded videos have been very helpful in understanding the material because of all the practice problems they help with and the extra information they cover.,NC
"I initially feared that communication with the instructor would be difficult, so any questions I may have about this rigorous course may go unanswered. After getting used to the course, I realized that the modules were quite thorough in explaining the content and that there were several ways to not only contact the instructor, but my peers as well.",AC,"I was initially really fearful about the course due to it being a college math class and being a part of college GPA, but after getting used to it I am starting to remember how much I enjoy math, and I understand the course content so far, which makes me comfortable and confident. This course is one where I genuinely want to go through the assignments and I look forward to learning more about linear algebra.",AC
Mainly getting enough practice,AC,,NC
None. I have done well in virtual classes previously so I am prepared to work hard and excel in this class.,NC,"Nothing much, other than that I'm excited to learn the material.",NC
My biggest concern is just making sure I stay on top of the class and not get behind.,AC,"So far I like the course, but I think the thing I struggle with most are true or false and concept questions, so more practice with those would be great.",AC
"My main concern is that I am not learning as well, since it is hard to have collaborative learning when you are at home.",AC,"The course seems pretty tough, but I think I will be able to manage. I'm still a little confused as to the application of all this, and why we describe linear equations in ways like consistency, uniqueness, dependency, etc. I'm trying to understand what the real-world interpretations of all these descriptors would be.",PC
Learning without active instructional time for questions and proofs and just better engagement will be difficult for me. I?m hoping office hours and studio sessions will help with that.,AC,"So far, it seems relatively simple as it builds off of algebra 2 more than I expected. Im excited to drive into more interesting theorems and applicable math.",NC
"The material in this course is quite new and unfamiliar to me, so my main concern is with mastering the content without the assistance of a physical teacher and an in-person class. The work requires lots of reading and time commitment in order to review the textbook material and the video lectures, which is something I am mindful of as I manage my time.",AC,"The course at first seems a little daunting without a physical teacher being present, and that this course is unlike any other math course I have taken before. There are a lot of theorems and concepts to know, and I feel that it will get easier with a little bit of practice. I love that the professors, TAs, and students are doing as much as possible to build a sense of community though this is a remote course.",NC
None for now.,NC,Not for now,NC
"My concerns lie primarily in the realm of seeking help when I encounter any difficulties with course content. As I play varsity volleyball at my school, I am unable to attend the majority of studio sessions and office hours but seek to find a way by which I can effectively receive assistance from course assistants and the professor.",AC,"I am enjoying the course thus far! However, as I go through the material, I realize it isn't as intuitive for me as it may be for others and feel that sometimes I have gaps in my understanding of the material. I hope to overcome this barrier through continued practice in the MyMathLab textbook.",AC
None!,NC,"I am loving Linear Algebra! It's challenging, fast-paced, and really makes me think, which is what I love the most. I think the most difficult part content-wise is the theoretical aspect of the course, which I hope to get a better grasp of through practice.",NC
"I am bit worried that I will have a harder time learning linear algebra online, and that I will not understand the material well enough for the exams and final.",AC,"No, but thank you for asking.",NC
none,NC,none,NC
None,NC,None,NC
My only concern is that I hope I am able to retain and understand the concepts just as effectively as I would in an in-person class.,PC,There is nothing else.,NC
Is this course going to remain remote using Canvas throughout the year (including Multivariable Calc next semester)?,AC,"All of the answers I chose for the first question- ""Which of the following technologies can you easily access at school?"" were items that I have access to at home as that is where I take this course (off-campus).

The course seems to be easy so far; however, the topics are getting just a little more complicated. Watching the lectures definitely helps though.",AC
"I was a bit worried about the pacing of the course and how I would stay organized, but the syllabus alleviated those worries.",NC,"I have really enjoyed the course these past few weeks, but I feel the lecture videos may be too quick to fully understand the concepts: perhaps extension videos could be useful.",AC
How easy it will be to grasp the concepts as I am online and remote. I also am concerned on how hard the proctored exams will be compared to the quizzes and homework,AC,"I enjoy the class so far, and I am excited to learn more.",NC
The quality of teacher-student communication and feedback.,AC,"The course content itself is not too difficult in practice, but the definition of each term is not explained very clearly, and it is easy to mix up similar ideas.",AC
I don't have any concerns.,NC,I like this course so far. It is a little confusing at times but otherwise I find it pretty fun.,NC
There might be really niche questions I have that might not be answered due to the large amount of students.,AC,I really love to ask math questions since I really try my best to get a deep understanding of concepts rather than just memorize formulas.,NC
I do not understand how the proctored exams will look like.,AC,I am really excited to take this class.,NC
"I still can't find the lectures, just the lecture slides and studio class recordings. I have been using the textbook and youtube videos but would love to find the lecture videos.",TC,Have a good day!,NC
No concerns beside making sure I time manage well.,NC,"So far the course seems pretty straight forward and the material and due dates can all be found in only two places instead of five, for instance. So thanks!",NC
Not having the immediate help on things I don't understand.,AC,I'm doing ok right now.,NC
If I can learn the content effectively.,PC,No.,NC
None so far,NC,The course is extremely interesting so far; I didn't expect linear systems to have so many intricacies.,NC
I do not have any concens.,NC,"No, that is everything. Thank you!",NC
Keeping on pace without falling behind; actually grasping the material without an in-person teacher; the fatigue of taking this class at the end of the day after other classes,AC,This is super interesting material and I'm excited! I'm just also really exhausted from my other classes and work so it can be challenging for me to keep focus.,PC
"Some of the course content seems pretty challenging to understand, and some practice questions are worded difficultly, plus having to take the course online individually is less involving and engaging than an actual classroom.",AC,"The course is challenging, but should be manageable to some degree. There's a lot of conceptual math to learn with less calculation-based material. Also, this course's true/false questions are almost always the most daunting questions.",AC
"My only concern for taking this class remotely is that I move at a pace too quickly to fully comprehend the material. In a regular class, schedules are formulated to avoid this.",AC,"My impressions of the course so far is that it is very well made. I also thought it was extremely generous that you can take quizzes, tests, and MML as many times as wanted.",NC
None,NC,None,NC
If I will be able to learn the content to its fullest,PC,None,NC
"I'm a little concerned on my ability to self-teach. I've never really liked remote learning, so it's just something I have to get used to.",AC,"Other than the studio sessions going over the worksheets, are there additional ways to get extra practice for the exams?",AC
No concerns :),NC,I think the TA sessions on Monday and Wednesday are not that helpful.,PC
"I prefer face-to-face learning, so taking this class virtually, I may find it difficult to learn. Many of the opportunities to meet with TAs through office hours alleviates some of my fear regarding that.",AC,"By the end of week two, I am enjoying this class quite a bit. I absolutely love math so this makes me feel in my element. I also really am appreciative that all quizzes and tests have infinite attempts. It means I do not have to be anxious about my grade, and I can simply focus on learning!",NC
"I am concerned about not having enough practice in terms of worksheets that build up (from simple problems to more complex), especially for proctored exams. I am spending most of my time taking notes and doing the assigned work, barely doing additional problems due to lack of time. Furthermore, I am nervous about proctored exams because I feel unprepared for them.",AC,"It is difficult for me to make studio times, but I try my best to watch them later in the week. At first, it was difficult managing the additional work since school already started before, but after some time, I believe I am more on track. I just want to make sure I can do everything possible to have solid understandings for exams.",AC
"One thing I am concerned about is communication with the instructors, but with the help of the studio sessions and the piazza platform, I don't think this will become an issue.",TC,"I like that all the resources are available so I can use what I need personally to succeed in the course. The course seems challenging in the way that you need to work through problems to understand the theorems, but I enjoy it so far.",NC
N/A,NC,The course is slightly difficult to understand at times as the lecture videos are roughly at the same level as the textbook.,AC
The level of autonomy we have in this class (receiving help or assistance on topics that may be difficult to glance at first hand),AC,I like the system of modules!,NC
One concern I have is that I may not pace myself properly for one week which may result in delays throughout the semester.,AC,None,NC
Not being able to access all the resources I might need throughout the course because of technology.,TC,None!,NC
"I am concerned about the level of engagement I can maintain, as being remote removes some semblance of responsibility to me. As such, I have to motivate myself to do work for this class than other physical classes.",AC,"I don't have any specific needs, but I often need to interpret topics conceptually, rather than through formulae, as it is easier for me to grasp the reasoning behind the formulae.",NC
None,NC,I think it's very interesting already :),NC
The only concern would be technical issues that would be out of my control.,TC,I like your videos and handwriting.,NC
none,NC,The course is conceptually challenging and requires a deep understanding of the material that is being taught. I often need to watch the lecture videos more than once to truly grasp what I am learning.,AC
"Just some things about immediate help, but it looks like Piazza and studio sessions will be helpful with that.",NC,Nothing in particular.,NC
My main concern about taking this class remotely is not having enough practice readily available to me so that I can practice key concepts to strengthen my understanding of the topic.,AC,"Currently, the content of the course seems harder to comprehend than any other class I have previously taken and some of the problems seen in the homework/module quizzes are more difficult to understand, but very forgiving and allows for major improvement.",NC
"I'm not super nervous about anything. I guess I'm a little worried I'll let myself forget about assignments, but that's more of a me thing.",AC,"No, the class has been good so far. It's definitely harder to visualize than in other math classes.",NC
"I'm not used to getting prerecorded lectures, but it isn't a problem.",AC,N/A,NC
None,NC,"The content seems difficult, so I am glad the policy is lenient.",NC
I do not have any concerns.,NC,I really like the textbook. It is very clear and helpful.,NC
I don't have any major concerns.,NC,There is nothing that I have to share.,NC
"My biggest concern is that I will not fully grasp certain concepts if I do not learn them in person. It is only me and one other person taking this course in my county, so we do not have a big group to help each other. I know that we have Piazza which should help, but it still is not the same as learning and understanding the content in person.",AC,"So far, the course has gone better than expected. I will admit that I was scared going into it, but the Canvas site is pretty easy to navigate and learn with. That really helps ease my nerves about this class.",NC
I am concerned with understanding the course content and being prepared for tests.,AC,no,NC
Not many. I think that this fits my schedule well and is more flexible.,NC,I like the pacing.,NC
My only concern is missing an assignment by mistake.,AC,"I do have the impression that this course will be difficult, but if I try my best to do all the worksheets I should be able to do fine.",NC
"I am a little concerned on being able to ask questions directly and receive real-time feedback and conversations. Due to extra curriculars and an internship, it can be hard to make the office or TA hours.",TC,"No, nothing in particular about myself. My impressions about the course are that it is going to be challenging as there are a lot of different theoretical problems and questions that I sometimes can't make the connections needed to answer.",AC
none,NC,"Lecture speed is sometimes a little quick, I have to pause and feel like I miss things because I am.",AC
I do not have any.,NC,"I like the course so far! I learn very well in this type of format so it?s really nice.

",NC
Procrastinating but that?s a me problem,PC,"No, the class seems alright. It seems more definition based",NC
"* Instruction may not be as well as in-person teacher instruction

* Limited collaboration between classmates

* Technical issues

* Harder to access help when I need it",PC,N/A,NC
"I know that I have to be extra careful about staying on top of my work, but I am working to constantly remind myself to study and complete assignments early.",PC,"I think the course is going well so far. I am discussing the topics with my classmates at school, and we are learning together.",NC
"I tend to struggle a bit with majority asynchronous classes where I have to learn material on my own, but I think office hours and synchronous live sessions will help a lot. The material so far isn't too difficult",AC,"So far, I really like the textbook because it explains well. Additionally, everyone is supportive of each other's learning, so it's fun.",NC
"I am concerned about the in-person exams we will have to take, even though Math 1554 Students at my high school may have conflicting schedules to take it all at one time. I am also concerned about my ability to keep track of every deadline mentioned in the syllabus.",PC,"I feel that this course is a lot more conceptual and requires a deeper understanding than any previous math course. Past math courses allowed for algorithmic solutions to problems, but the ""true/false"" questions regarding the concepts in this course needs the student to have a great understanding of the content to be successful.",NC
none,NC,This is a great setup!,NC
Remote learning is not a big issue for me. Only disadvantage is the lack of actual face to face discussion and interaction.,AC,The course for the most part has taught me things I have never seen before. It is definitely interesting and advantageous to learn more about linear algebra before starting multivariable calculus.,NC
I do not have any concerns about taking this class remotely.,NC,I like it when teachers send out reminders of upcoming due dates and study tips as well. You guys have already been doing that so THANK YOU!,NC
I fear that I won't retain the content as well as I would in-person because I am not having class discussions and actively working through problems with others.,AC,"I am excited to continue this course. I am nervous about tests/exams making up such a large portion of my final grade, but I will try not to worry too hard!",AC
"I like face to face interactions, so I'm a bit concerned about staying motivated on my own. I'm a good student, so I'm not going to fall behind academically, but mentally the virtual class may be challenging.",AC,"In regards to question 4, I am the only student in my school who is taking this course and I don't know anybody outside of school who is in the course. I do regularly view lectures, but it's on my own.

So far I'm feeling solidly ok about the course. I like that the topics are arranged by week, although the fact that the studio sessions move at a faster pace than the weekly lectures is a little tough.",AC
"The only concern is that if I do not understand something, I am afraid that it will be harder for me to correct or develop my understanding due to the class being remote and not in person.",AC,"Sometimes it feels like there's a bit of a disconnect between what we learn and what we have to do in our homework/quizzes, but that is also part of the learning process, so it is not entirely concerning.",AC
I have no peers to ask in person if I get stuck,AC,No,NC
"Due to my schedule, it is very hard for me to attend any sessions live, so I can only watch the recordings. I'm a little worried about that aspect because I might miss something that would be more beneficial for me to watch live, but other than that I have no worries!",PC,"So far, I really enjoy the class! I find the 10 minute lecture videos to be very informative/easy for me to understand. I also appreciate being able to retake quizzes and practicing similar questions on the homework.",NC
That I don't get the ability to sit in a scheduled class to listen to lectures that teach me new material. That I'll procrastinate and get lazy (which I am doing my best to keep up).,AC,The class looks like it is going to get complicated fast.,AC
No Concerns.,NC,Nothing as of right now.,NC
"Sometimes the distance of online work can make communicating with the online teacher difficult. Also, the lack of personal one-to-one talking ability through a classroom can make not understanding a topic seem like a more daunting task to overcome",AC,"It's a good course so far, just seems like a lot of different websites have to be accessed for one class and its classwork.",NC
n/a,NC,n/a,NC
"I am concerned that I may end up getting distracted or lose focus easily during this class, since for its entirety it will take place on just my laptop, making it easier to lose focus than if there was an actual teacher in the room giving lectures.",PC,No.,NC
I have no concerns.,NC,I like the overall look of this course so far.,NC
"-I don't think I am being assigned enough homework, 12 or so problems per week doesn't seem like enough problems for me to truly master the material. I am aware of the additional resources provided, but some of them, like the textbook, do not appear to have solutions that I can check.",AC,Nothing else.,NC
I do not have any particular concerns about remote learning.,NC,I don?t have any unique individual needs that are not being fulfilled right now.,NC
"I am afraid that I will not learn as well remotely, but I know that there are office hours that I can attend if needed.",AC,I am very excited to learn!,NC
"I have taken classes remotely where I have had to learn the content myself, so I feel like I am prepared for the virtual aspect of the class.",NC,I like the fact that there are multiple videos instead of one long 40 minute video.,NC
"I tend to learn better with in-person lectures because I retain things when there are live examples to apply to the material. Also, it's more efficient when the practice problems are explained to a class rather than me just doing them by myself, though there are sometimes online sessions to help with that.",AC,none,NC
"Internet connection issues, response times.",TC,"None, just very excited!",NC
I do not have any concerns as of now.,NC,I do not have any individual needs that the course doesn't already provide for me.,NC
"I may fall behind if I am taking the class online, because there will no teacher and no classmates that will remind me of deadlines before they happen. But, I do know a lot of other people taking this class that I see throughout my school day, so they will be able to help me with things if I am confused or forgot something.",AC,"My first impressions about the course are that the concepts are initially hard, but after doing some problems with them, then I can understand the tricks and the patterns to look for.",NC
"N/A I am excited to learn more about the intricate and complex subject of Linear Algebra as we traverse through Matrixes, Eigenvalues, and Diagonalization.",NC,N/A,NC
not much tbh,NC,"multiple concerts overlap with major test / exam days, so I may need some re-scheduling",PC
"I am concerned that I may fall behind without regularly being able to ask questions in person. Some of the questions I have have been posed on Piazza and have been answered, but I still don't understand the answers given and have no idea how to articulate exactly what I'm struggling with.

",AC,"I am still unsure of who the dual enrollment coordinator at my school is, and who I should go to to have my exam proctored.",AC
None,NC,I really like how the class is structured because it helps me know exactly what I need to do each week. Also the studio worksheets and meetings help me stay on track and help me understand the concepts better.,NC
My major concern while taking this class is making sure that I have enough time to submit the homework and quizzes on time.,AC,"The course goes over content very fast. For example, in one week, we learn about 9 topics. Right after learning this, we usually have to begin homework without much time to digest the new information.",AC
N/A,NC,The course is fun so far.,NC
"None! I've been fairly successful with remote learning in the past, so the medium of the learning shouldn't pose any issues. Additionally, this course has operated digitally for many years already, so it is well-adjusted to teaching linear algebra online. The existence of piazza and various other methods of student support further assuages any concern.",NC,"Thus far, I've really enjoyed the course! A challenging math class is always rewarding when you understand it. I don't really have any additional needs that come to mind at the moment, but if any arise I will either send an email or attend office hours to resolve whatever may have come up.",NC
None,NC,N/A,NC
N/A,NC,The course looks very interesting.,NC
"Understanding the material fully. The studio session help reinforce what the module videos said, so hopefully in the end I will be okay.",NC,Nope!,NC
"In my opinion, learning online is generally harder. So, at no expense to the program, I just feel learning remotely is tough for me.",PC,N/A,NC
Nothing,NC,No,NC
"I was worried, but as I am ""getting in the flow"" I think this class will be manageable as long as I stay on top of my work and ask questions sooner rather than later.",NC,"I think the course so far is pretty interesting, but I definitely have to think about the topics and read it a couple of times to make sure I am truly grasping it.",NC
N/A,NC,N/A,NC
interact with other students,PC,"good class overall, the lecture videos are helpful and because so many office hours are held, I and not afraid of having no one to help me.",NC
"I have a slight concern with not getting immediate feedback to any question I may have. Other than that, I enjoy learning remotely and working at my own pace.",NC,Not at the moment!,NC
"I do not have any concerns about the class. There are many time slots for office hours, so I have access to help if I need to speak with a professor, LA, or TA.",NC,"I like the course so far! It has been different from some of my other math courses in that it is much more conceptual so far, but I am liking the class.",NC
"This is not exactly a concern, but I wish there were more paper practice worksheets to do. I remember last year, in Calc BC, my teacher gave us a lot of extra practice which really helped me understand the content better. I wish that this course had additional worksheets (other than lecture notes/studio session worksheets). I understand that this course has a few practice tests which are helpful, but having more practice worksheets specific to certain topics would be good.

Like for example, extra matrix worksheets to just solve matrices.",AC,"No, not really. I'm really excited to learn about Linear Algebra!",NC
"I would like if we could have time where there are active lectures where we can ask questions, so we can better learn the content. Instead of watching pre-recorded lectures, I believe it would be beneficial to allocate live lectures where we can directly ask questions perhaps once a unit. Studio times are helpful, but live lectures would be more helpful.",AC,"No, thank you for asking.",NC
I don't have any concerns about learning remotely as I got a lot of experience doing so during covid.,NC,Nope.,NC
I do not have any concerns about taking this class remotely as there are still many opportunities for communication regarding getting help with understanding topics or completing problems.,NC,I like the organization of the course and the abundance of practice resources we have to make sure we fully understand the topics.,NC
N/A,NC,"I hope to enjoy this class with everyone!

",NC
N/A,NC,N/A,NC
I don't have any concerns at the moment.,NC,I am excited to take this course and enjoyed the first week's classes.,NC
"So far, it's been really good! The live sessions help a lot, and there is plenty of practice!",NC,NA- all good!,NC
"Time management, alongside worries of not truly understanding the content.",PC,Not particularly,NC
I am worried that I will struggle to grasp the concepts within the short lecture videos.,AC,N/A,NC
"N/A, Online classes have become much easier to swallow given the last few years",NC,"I have Autism Spectrum Disorder. While in terms of math it rarely does much, it does mean I tend to be tone deaf in most communications and I require time and a half on proctored assessments.",PC
"The few concerns that I have are:

1. Me falling behind in the coursework when the exams are closing in.

2. Me not finishing my work on time due to procrastination if that happens.

3. Me not fully understanding the concepts, which can be resolved through the studio sessions and through piazza.",PC,"This course is highly theoretical, which makes it confusing when not understanding a great amount of it. On the contrary, I feel this course is very interesting and I like how it flows and that I work on my own time, I like the freedom.",AC
"I'm concerned that I will accidentally miss an assignment or good study material. I find the syllabus incredibly helpful, but I am still struggling to keep track of the many different websites used for content.",AC,I find the video content helpful but I don't think it always matches the content covered in the quizzes or homework. I enjoy the way the homework and quizzes are currently set up as it helps me actually learn the material.,AC
Not having a teacher present at all times to answer any questions I may have.,NC,There is nothing at the moment.,NC
"Not much. The exams mostly. I took CS1301 as Dual Enrollment in the spring, so I feel comfortable using most of the online resources.",NC,"Seems like interesting stuff so far, but it feels like a lot of trial and error going from the lectures to the homework.",NC
N/A,NC,I quite like the teaching/grading style of this course so far. It seems to focus more on the actual learning of the material rather than the minute changes in numbers in the grade book as high school has always seemed to be.,NC
My only concern is that I will not be able to get answers to my questions as they arise.,AC,The course seems well designed and the lectures are mostly easy to follow.,NC
None,NC,Nothing,NC
Keeping up with the course and staying on top of studying and reviewing the material that we learn. After a while I should have a swing of things and get on a determined study schedule that will best fit my needs.,AC,Course is very easy to follow and very interactive because of Piazza; Piazza is one of the most informative and useful resources we have.,NC
None.,NC,"It is very difficult for me to attend the live studio sessions; I have a class every day of the week from 8:25-9:13 at my high school. I also have clashes with my sports practices and internship for the evening sessions.



However, I am still very interested and invested in this class. I am working to open these slots in my schedule for me to attend these sessions. I am also viewing the studio recordings.



I hope that not attending the studio sessions has reflected poorly on me as a student.",PC
Worried that I might get behind or not be able to receive the help that I need. Mainly that I will procrastinate and get behind.,AC,,NC
My biggest concern is probably having to keep up with the pace of the class and finding ways to ask for help when I need it.,AC,No,NC
I do not have any concerns.,NC,"There is nothing specific that I feel that you need to know. If anything, I am enjoying the self-paced element of the course.",NC
None,NC,N/A,NC
"I have been used to asking questions about topics I am unfamiliar about, and these questions are always easier to understand/ask when a teacher is standing right in front of you. Though virtual office hours do mimic this question environment, I am still concerned about the ability for the TA to actually understand my question, because sometimes they can be quite odd.",AC,"I hope that there are no more different websites/softwares thrown at us to use, since keeping track of MML, Piazza, textbook, etc. can become overwhelming.",TC
Nothing really concerns me about taking this course.,NC,"The course is definitely much more difficult than AP Calculus BC, but it is interesting to learn.",NC
"I have a difficult time keeping focused at home, and even though I am setting my schedule for my work, there are some days in the week where I am unable to do any math practice because of scheduling.",PC,"I think that the math terminology and the wording of proofs and theorems in the textbook can be very confusing. Sometimes, I'm unaware of what a theorem may be insinuating, and won't fully understand some paragraphs.",AC
None,NC,I think that it's pretty nice so far.,NC
I feel that it is more difficult to comprehend some topics when it is taught online.,AC,No,NC
"Some concerns are having to take exams online and having the internet go off or computer problems, or missing something that may be on the exam.",TC,"I think the course is fun, but I'm fearful about the 1 take exams with no grade improvement.",AC
None,NC,I really like how independent this course feels compared to the usual classes in school!,NC
"Keeping track of where all assignments are located and their deadlines. For example, worksheets are not on the calendar and submitted into Gradescope.",AC,"I am very impressed with all the infrastructure that is there for asking questions, viewing lectures, and communicating with the TAs and professor.",NC
"Not being able to ask questions to a teacher while learning and not having enough practice problems to work through. Usually, my math classes involve 10-15 minutes of lecture followed by 30 mins of doing practice problems.",AC,"Nothing I need you to know, but my first impression is that the content is very interesting!",NC
I don't really have any worries as I worked remotely all of sophomore year and I haven't had any trouble so far.,NC,I don't have any particular needs that should be addressed. My impressions have been that the course content should not be very hard so long as I keep up with the work and videos.,AC
N/A,NC,No,NC
"I'm concerned about the proctored tests. I've tried to look at the example tests available online, but they're not loading or showing up. I'm still looking around Canvas to figure it out soon. One of my main concerns, though, is about retaining the concepts from the lessons. I understand most of this is personal study time and planning for exams.",AC,I am pretty easy going with most things. One thing I would like you to know is that my school in general has a lot of breaks throughout the year. Most of these breaks are spread throughout the year thankfully. I will be diligent in communicating with the course director in case there are any conflicting issues.,PC
Typing equations,TC,N/A,NC
"My only concern is if I will be able to get help if I need it. Because of the way my schedule works (I am a year-round swimmer), I can attend very few of the office hours or studio sessions. I hope that piazza should cover most, if not all, of the questions I may/will have. I know that I have resources available to me to make sure I am able to get help, it is just a bit uncomfortable for me to come from previous math classes where I have asked a lot of in person questions to somewhere where it is much different process to get the same kind of help.",TC,Not that I can think of.,NC
"I have no concerns, as I work well over video lessons.",NC,I do not believe so,NC
"My school's wifi is unstable at times, so I am concerned that the wifi might cut out during assignments and homework sets. Specifically, I am concerned that the system might not save my work or just mark it all wrong when I am in the middle of working on it.",TC,"The lectures are helpful, but at times, I do feel as if I need further clarification on definitions and visualizations.",AC
Keeping up with the workload,AC,"Not really, so far I am looking forward to it",NC
None.,NC,None.,NC
I'm concerned about my time management with this course along with my other ones at school especially since this course is very rigorous.,PC,"I think this remote course has a lot of resources that allow us to ask questions and understand, and I'm enjoying the course so far!",NC
I am concerned if I can easily get the help that I need and clarify any confusions that I could during an in-person class.,AC,I think the course is great! Week one went by good!,NC
none,NC,no,NC
None,NC,I think there should be more examples available to learn from.,AC
"I'm worried I wont have good study habits and not do well on the exams, or I miss an assignment and it lowers my grade by pure accident.",AC,"I really enjoy the course, I'm just worried because I am the only one in my county, I believe, that is taking this course, so if I need any help it will be hard to get.",PC
n/a,NC,n/a,NC
I will not understand the course material thoroughly because I do not know how to properly pace myself.,AC,I feel like the lectures should include more practice problems.,AC
Only concern that I have right now is the internet connection. Internet connection is sometimes very bad at my house.,TC,I like this course already! I feel like this class is very organized. I also like your video lectures; it is very easy to understand and follow.,NC
My only concerns are (1) making sure I'm showing my work the correct way and (2) making sure I don't miss tiny but important details.,AC,The material and assignments are set up really nicely; to be nitpicky I wish I could start on the Written Assignments ahead of time but it's not a real concern or issue in any way.,NC
I'm worried that I am going to have a hard time understanding the content. I usually do best with an in person teacher but I really wanted to challenge myself this year. I'm lucky to have a teacher at school I can get help from if I need it but it's not the same as being in class.,AC,"I like the course so far. The lecture videos are incredibly helpful, as are the studio sessions.",NC
N/A,NC,"The videos are pretty helpful so far and in tandem with MyMathLab, I shouldn't have too many problems with the course at this point, although some of the later stuff looks a little intimidating, butthat comes with every math course.",NC
None,NC,This course is less straightforward than Calc BC and is not all about solving problems (which in my opinion makes it more difficult).,AC
"Just the lack of the in person experience that helps me learn, but technology-wise everything seems very organized and good!",PC,"It seems very conceptual which will be a different change from my previous math courses, and it is definitely hard. The lectures often go over my head just simply based on all these notations and methods that are very unfamiliar to me, even the things I was familiar with before . I will work hard to get that A!",AC
"Lately my house has been having internet problems (which may or may not have just been resolved this past week), so we have been frequently losing internet connection for minutes at a time. This could affect my ability to participate in studio sessions or complete timed assessments, but so far it has been okay and I don't think it would cause any other significant problems.",TC,"I have to attend the 5:00pm studio sessions on Mondays and Wednesdays because I already have a class during the morning ones. But I also have dance classes starting at 5:30pm on those days, so I have to either miss participating in the live studio session or arrive late to dance class. (So far I've opted for the latter).

The unlimited attempts on certain assignments (at this point in time, at least) is reassuring because it makes starting the course a little less intimidating.",PC
"I am most concerned with getting a proper understanding of the material. I know I will read all the assigned textbook pages, watch all the prerecorded lectures, and do my homework on time, but I have never taken such a difficult class strictly online before (except for parts of classes during the covid lockdowns), and I hope this online setting still allows me to get a deep understanding of the material.",AC,"I am enjoying the course so far. It is definitely my most demanding class, but it is also the most rewarding. The readings can be and homework problems can be difficult to understand, but I almost always understand them after some time.",NC
I do not have any concerns.,NC,"Nope, everything is going well so far!",NC
I am nervous that I'll get my first B.,NC,Nope!,NC
I am concerned with not understanding the problems or approaches to the problems to my full potential.,AC,I love learning math but I am concerned with understanding the math problems and worried about what grade I may get.,AC
none,NC,"The resources are pretty well developed, I hope I'll be able to use them to succeed on the heavy exams.",NC
N/a (have taken other classes online through Canvas and have been successful).,NC,No.,NC
N/A,NC,N/A,NC
"With all the resources provided for this course, I do not have any concerns.",NC,,NC
"With the Piazza platform for asking questions, so far I think all content concerns can be addressed, so I do not really have any issues at the moment. I think I know of supplemental practice as well.",NC,"So far, everything has been pretty manageable.",NC
"I do not have any major concerns about taking this class, just that I know it will get overwhelming at times, but I will push through it.",NC,"I will communicate as much as I need to, and while I might not be able to make every office hour session due to other activities, I will try my best to attend and communicate with you and the TAs as much as I can.",NC
"I am worried that I will not fully understand the content even if I am answering the HW and quiz questions. I read the textbook after watching the lectures, but sometimes I am still confused.",AC,"I love how organized the course is. I also appreciate how fast the instructor, TAs, and LAs answer questions on Piazza very quickly. I am someone who needs a lot of clarification, so I have planned to make time for office hours.",NC
Mostly being able to get WiFi at school to do the lectures. There really isn't much else that I'm concerned about.,TC,It is a fun course!,NC
"I'm concerned that the questions on the test will be significantly more difficult than the homework. quizzes, or practice.",AC,"I really enjoy it so far; the self-paced learning is new, but in a good way!",NC
I have no concerns about taking this class remotely.,NC,I think that the course will be fun and challenging and I look forwards to learning Linear Algebra.,NC
N/A,NC,N/A,NC
"Personally, I tend to be an individual learner and have taken online classes before, so I don't think it will be a significant problem taking this class remotely. It won't be a complete college experience, and getting feedback from a teacher will be more difficult and slower than a live lecture, but I think the studio session should help with that. Staying focused and on track may be a bit difficult with the flexible schedule.",PC,"I definitely think the studio sessions are helpful to clarify concepts from the lectures, and the piazza forum is helpful for all students. I am still a little uncertain about the role of the textbook in the class. The lectures seem to cover basically everything from the corresponding textbook pages, so I'm a little unsure if the textbook will be helpful. I think it might just be better for practice questions.",NC
transitioning to and from school whilst having to listen to lectures for this class.,AC,The course seems very fun and I am excited to go through this rigorous course online.,NC
